Points_0,Points_1,Points_2,ph,uh_0,uh_1,uh_2
0.326531,-6,0,1.19661,0.8,0,0
0.346939,-6,0,1.19286,0.8,0,0
0.326109,-5.42894,0,1.01835,0.831645,-0.00634886,0
0.346529,-5.42898,0,1.0147,0.832242,-0.0064255,0
0.325725,-4.9098,0,1.19136,0.803471,-0.0152938,0
0.346157,-4.90987,0,1.18719,0.802982,-0.0156187,0
0.325377,-4.43785,0,1.05866,0.805233,0.0047205,0
0.345819,-4.43795,0,1.05472,0.805003,0.00463418,0
0.32506,-4.00881,0,1.16359,0.797112,-0.00457539,0
0.345511,-4.00894,0,1.15932,0.797249,-0.00451997,0
0.324772,-3.61877,0,1.08823,0.796988,0.00223876,0
0.345231,-3.61892,0,1.08432,0.79689,0.00219334,0
0.32451,-3.26419,0,1.14248,0.797058,-0.00277306,0
0.344977,-3.26436,0,1.13831,0.797165,-0.00280884,0
0.324272,-2.94184,0,1.10536,0.79733,-6.76919e-05,0
0.344746,-2.94204,0,1.1014,0.797298,-8.41056e-05,0
0.324055,-2.6488,0,1.13124,0.797327,-0.00252674,0
0.344536,-2.64901,0,1.1271,0.797396,-0.002534,0
0.323858,-2.3824,0,1.11461,0.797456,-0.00155285,0
0.344345,-2.38263,0,1.1106,0.797456,-0.001564,0
0.32368,-2.14021,0,1.12585,0.797503,-0.00282222,0
0.344171,-2.14046,0,1.12175,0.797565,-0.00281689,0
0.323517,-1.92005,0,1.11917,0.797722,-0.00285708,0
0.344013,-1.9203,0,1.11512,0.797764,-0.0028465,0
0.323369,-1.71989,0,1.12361,0.797889,-0.00374271,0
0.34387,-1.72017,0,1.11951,0.797963,-0.00372103,0
0.323235,-1.53794,0,1.12122,0.798262,-0.00424781,0
0.343739,-1.53822,0,1.11715,0.798342,-0.00421489,0
0.323112,-1.37252,0,1.12276,0.79861,-0.00511037,0
0.34362,-1.37282,0,1.11865,0.798717,-0.00506008,0
0.323001,-1.22215,0,1.12196,0.799156,-0.00593426,0
0.343513,-1.22245,0,1.11785,0.799285,-0.00586278,0
0.3229,-1.08544,0,1.12229,0.799757,-0.00695756,0
0.343415,-1.08575,0,1.11815,0.79992,-0.00685598,0
0.322809,-0.961161,0,1.12186,0.800567,-0.00808119,0
0.343325,-0.96148,0,1.1177,0.80077,-0.00793878,0
0.322725,-0.84818,0,1.12157,0.801516,-0.00938098,0
0.343244,-0.848506,0,1.11738,0.801768,-0.00918289,0
0.322649,-0.745471,0,1.12096,0.802735,-0.0108433,0
0.343171,-0.745803,0,1.11673,0.803046,-0.0105714,0
0.32258,-0.652098,0,1.12016,0.804173,-0.0124935,0
0.343104,-0.652437,0,1.11587,0.804554,-0.012124,0
0.322518,-0.567214,0,1.11907,0.805952,-0.0143217,0
0.343043,-0.567558,0,1.11473,0.806408,-0.0138249,0
0.322461,-0.490047,0,1.11765,0.808031,-0.0162991,0
0.342988,-0.490396,0,1.11326,0.808562,-0.0156417,0
0.322409,-0.419895,0,1.1159,0.810396,-0.0183704,0
0.342937,-0.420248,0,1.11145,0.810992,-0.0175223,0
0.322362,-0.356121,0,1.11375,0.812006,-0.0204329,0
0.342892,-0.356478,0,1.10927,0.812643,-0.0193741,0
0.367347,-6,0,1.18908,0.8,0,0
0.36695,-5.42902,0,1.01105,0.832846,-0.00649795,0
0.366589,-4.90994,0,1.18302,0.802495,-0.0159149,0
0.36626,-4.43805,0,1.05079,0.804761,0.00454111,0
0.365962,-4.00906,0,1.15504,0.797386,-0.00447255,0
0.365691,-3.61907,0,1.08042,0.796796,0.00215142,0
0.365444,-3.26453,0,1.13414,0.79727,-0.00284609,0
0.36522,-2.94223,0,1.09743,0.797264,-0.000101798,0
0.365016,-2.64922,0,1.12297,0.797465,-0.00253948,0
0.364831,-2.38286,0,1.10659,0.797456,-0.00157441,0
0.364662,-2.1407,0,1.11764,0.797627,-0.00281114,0
0.364509,-1.92056,0,1.11108,0.797805,-0.00283467,0
0.36437,-1.72044,0,1.11542,0.798035,-0.0036976,0
0.364243,-1.5385,0,1.11307,0.798419,-0.00417985,0
0.364128,-1.37311,0,1.11455,0.79882,-0.00500692,0
0.364024,-1.22275,0,1.11374,0.79941,-0.00578732,0
0.363929,-1.08606,0,1.11402,0.800077,-0.00674897,0
0.363842,-0.961799,0,1.11355,0.800963,-0.00778913,0
0.363764,-0.848833,0,1.1132,0.802007,-0.00897526,0
0.363692,-0.746136,0,1.11251,0.803339,-0.010287,0
0.363627,-0.652775,0,1.11161,0.80491,-0.011739,0
0.363568,-0.567902,0,1.11042,0.806828,-0.0133098,0
0.363515,-0.490745,0,1.1089,0.809044,-0.0149657,0
0.363466,-0.420602,0,1.10705,0.811527,-0.016659,0
0.363421,-0.356835,0,1.10486,0.813208,-0.0183071,0
0.387755,-6,0,1.18529,0.8,0,0
0.38737,-5.42905,0,1.00739,0.833459,-0.00656523,0
0.38702,-4.91001,0,1.17885,0.80201,-0.016185,0
0.386702,-4.43815,0,1.04686,0.804507,0.00444329,0
0.386413,-4.00919,0,1.15077,0.797524,-0.00443335,0
0.38615,-3.61922,0,1.07652,0.796705,0.0021123,0
0.385911,-3.26471,0,1.12997,0.797373,-0.00288418,0
0.385694,-2.94242,0,1.09347,0.79723,-0.000120974,0
0.385497,-2.64944,0,1.11884,0.797535,-0.00254359,0
0.385317,-2.38308,0,1.10258,0.797456,-0.0015841,0
0.385154,-2.14095,0,1.11354,0.797688,-0.00280508,0
0.385005,-1.92082,0,1.10703,0.797845,-0.00282183,0
0.38487,-1.72071,0,1.11132,0.798106,-0.00367265,0
0.384748,-1.53879,0,1.109,0.798495,-0.00414294,0
0.384636,-1.3734,0,1.11045,0.798921,-0.00495125,0
0.384535,-1.22305,0,1.10964,0.799532,-0.00570838,0
0.384443,-1.08637,0,1.1099,0.800228,-0.00663729,0
0.384359,-0.962118,0,1.1094,0.801149,-0.00763325,0
0.384283,-0.849159,0,1.10902,0.802234,-0.0087595,0
