Points_0,Points_1,Points_2,ph,uh_0,uh_1,uh_2
0.326531,-6,0,1.28941,0.999,0,0
0.346939,-6,0,1.28686,0.999,0,0
0.326109,-5.42894,0,0.915473,1.05554,-0.0125061,0
0.346529,-5.42898,0,0.911329,1.05672,-0.012785,0
0.325725,-4.9098,0,1.28029,1.01661,-0.0299676,0
0.346157,-4.90987,0,1.27667,1.01566,-0.0309304,0
0.325377,-4.43785,0,0.996577,1.02196,0.00728529,0
0.345819,-4.43795,0,0.992615,1.02162,0.00745313,0
0.32506,-4.00881,0,1.22359,0.991047,-0.0106756,0
0.345511,-4.00894,0,1.21894,0.991082,-0.0105082,0
0.324772,-3.61877,0,1.05998,0.989615,0.00846607,0
0.345231,-3.61892,0,1.05636,0.989326,0.00841588,0
0.32451,-3.26419,0,1.17369,0.988845,-0.00388265,0
0.344977,-3.26436,0,1.16923,0.98918,-0.00386196,0
0.324272,-2.94184,0,1.09726,0.988651,0.00194737,0
0.344746,-2.94204,0,1.09351,0.988539,0.00190974,0
0.324055,-2.6488,0,1.14796,0.989554,-0.00315437,0
0.344536,-2.64901,0,1.14367,0.989718,-0.00318568,0
0.323858,-2.3824,0,1.11621,0.988828,-0.00115721,0
0.344345,-2.38263,0,1.11228,0.988813,-0.00120791,0
0.32368,-2.14021,0,1.13674,0.989087,-0.00360269,0
0.344171,-2.14046,0,1.13255,0.989211,-0.00362933,0
0.323517,-1.92005,0,1.12487,0.988643,-0.00348566,0
0.344013,-1.9203,0,1.12084,0.988691,-0.00352006,0
0.323369,-1.71989,0,1.13238,0.988595,-0.00482048,0
0.34387,-1.72017,0,1.12823,0.988702,-0.00484011,0
0.323235,-1.53794,0,1.12839,0.98852,-0.00541034,0
0.343739,-1.53822,0,1.1243,0.988617,-0.00542402,0
0.323112,-1.37252,0,1.13083,0.988569,-0.00649722,0
0.34362,-1.37282,0,1.12669,0.988697,-0.00649762,0
0.323001,-1.22215,0,1.12954,0.988841,-0.00741403,0
0.343513,-1.22245,0,1.1254,0.988985,-0.00739784,0
0.3229,-1.08544,0,1.13003,0.989226,-0.00853661,0
0.343415,-1.08575,0,1.12585,0.9894,-0.0084913,0
0.322809,-0.961161,0,1.12934,0.989922,-0.00970021,0
0.343325,-0.96148,0,1.12513,0.990129,-0.00961239,0
0.322725,-0.84818,0,1.1289,0.990849,-0.0110184,0
0.343244,-0.848506,0,1.12464,0.991101,-0.0108674,0
0.322649,-0.745471,0,1.12795,0.992207,-0.0124746,0
0.343171,-0.745803,0,1.12363,0.992514,-0.0122349,0
0.32258,-0.652098,0,1.12673,0.993961,-0.014118,0
0.343104,-0.652437,0,1.12234,0.994337,-0.0137567,0
0.322518,-0.567214,0,1.12509,0.996248,-0.0159584,0
0.343043,-0.567558,0,1.12061,0.996704,-0.0154347,0
0.322461,-0.490047,0,1.12296,0.999105,-0.0179969,0
0.342988,-0.490396,0,1.11839,0.99965,-0.017265,0
0.322409,-0.419895,0,1.12029,1.0025,-0.0202053,0
0.342937,-0.420248,0,1.11565,1.00314,-0.0192216,0
0.322362,-0.356121,0,1.11707,1.00511,-0.0224733,0
0.342892,-0.356478,0,1.11238,1.0058,-0.0212066,0
0.367347,-6,0,1.28432,0.999,0,0
0.36695,-5.42902,0,0.907159,1.05792,-0.0130658,0
0.366589,-4.90994,0,1.27306,1.01471,-0.0318619,0
0.36626,-4.43805,0,0.988681,1.02125,0.00761591,0
0.365962,-4.00906,0,1.21428,0.991135,-0.0103389,0
0.365691,-3.61907,0,1.05274,0.989038,0.00835941,0
0.365444,-3.26453,0,1.16478,0.989514,-0.00385048,0
0.36522,-2.94223,0,1.08976,0.98843,0.00187322,0
0.365016,-2.64922,0,1.13938,0.989882,-0.00321597,0
0.364831,-2.38286,0,1.10835,0.988798,-0.00126048,0
0.364662,-2.1407,0,1.12836,0.989334,-0.00365552,0
0.364509,-1.92056,0,1.11681,0.988739,-0.0035531,0
0.36437,-1.72044,0,1.12409,0.988808,-0.00485902,0
0.364243,-1.5385,0,1.12021,0.988713,-0.00543666,0
0.364128,-1.37311,0,1.12254,0.988824,-0.00649648,0
0.364024,-1.22275,0,1.12126,0.989125,-0.0073796,0
0.363929,-1.08606,0,1.12167,0.989568,-0.0084431,0
0.363842,-0.961799,0,1.12093,0.990327,-0.0095203,0
0.363764,-0.848833,0,1.12038,0.991338,-0.0107102,0
0.363692,-0.746136,0,1.11933,0.992798,-0.0119865,0
0.363627,-0.652775,0,1.11797,0.99468,-0.0133836,0
0.363568,-0.567902,0,1.11617,0.997113,-0.0148961,0
0.363515,-0.490745,0,1.11388,1.00013,-0.0165171,0
0.363466,-0.420602,0,1.11108,1.00369,-0.0182249,0
0.363421,-0.356835,0,1.10777,1.0064,-0.0199337,0
0.387755,-6,0,1.28178,0.999,0,0
0.38737,-5.42905,0,0.902964,1.05916,-0.0133456,0
0.38702,-4.91001,0,1.26944,1.01374,-0.0327672,0
0.386702,-4.43815,0,0.984773,1.02084,0.00777584,0
0.386413,-4.00919,0,1.20962,0.991206,-0.0101668,0
0.38615,-3.61922,0,1.04913,0.988752,0.00830075,0
0.385911,-3.26471,0,1.16032,0.989847,-0.00384455,0
0.385694,-2.94242,0,1.086,0.988322,0.00183868,0
0.385497,-2.64944,0,1.1351,0.990048,-0.00324383,0
0.385317,-2.38308,0,1.10443,0.988782,-0.00131345,0
0.385154,-2.14095,0,1.12417,0.989456,-0.00368036,0
0.385005,-1.92082,0,1.11278,0.988786,-0.00358393,0
0.38487,-1.72071,0,1.11995,0.988912,-0.00487646,0
0.384748,-1.53879,0,1.11612,0.988808,-0.00544778,0
0.384636,-1.3734,0,1.1184,0.988948,-0.00649348,0
0.384535,-1.22305,0,1.11712,0.989262,-0.00735916,0
0.384443,-1.08637,0,1.1175,0.989731,-0.00839212,0
0.384359,-0.962118,0,1.11673,0.990516,-0.00942441,0
0.384283,-0.849159,0,1.11615,0.99156,-0.0105478,0
0.384214,-0.746469,0,1.11505,0.99306,-0.0117309,0
0.384151,-0.653114,0,1.11363,0.99499,-0.0130009,0
0.384094,-0.568246,0,1.11178,0.997474,-0.0143462,0
0.384042,-0.491094,0,1.10943,1.00055,-0.015758,0
0.383994,-0.420955,0,1.10657,1.00416,-0.0172203,0
0.383951,-0.357192,0,1.10325,1.0069,-0.0186588,0
0.408163,-6,0,1.27925,0.999,0,0
0.407791,-5.42909,0,0.898744,1.06042,-0.0136232,0
0.407452,-4.91008,0,1.26583,1.01276,-0.033649,0
0.407144,-4.43825,0,0.98089,1.02039,0.00793851,0
0.406864,-4.00931,0,1.20494,0.991296,-0.00999012,0
0.40661,-3.61937,0,1.04552,0.988468,0.00824077,0
0.406378,-3.26488,0,1.15586,0.990178,-0.00384359,0
0.406168,-2.94262,0,1.08225,0.988215,0.00180508,0
0.405977,-2.64965,0,1.13081,0.990215,-0.00326968,0
0.405803,-2.38331,0,1.1005,0.988766,-0.00136699,0
0.405645,-2.14119,0,1.11998,0.989578,-0.00370448,0
0.405502,-1.92108,0,1.10874,0.988833,-0.00361312,0
0.405371,-1.72098,0,1.1158,0.989015,-0.0048929,0
0.405252,-1.53907,0,1.11203,0.988902,-0.00545791,0
0.405144,-1.37369,0,1.11426,0.989071,-0.00648921,0
0.405046,-1.22336,0,1.11299,0.989396,-0.00733715,0
0.404957,-1.08668,0,1.11333,0.989888,-0.00833918,0
0.404876,-0.962437,0,1.11255,0.990695,-0.00932589,0
0.404802,-0.849485,0,1.11193,0.991767,-0.0103818,0
0.404735,-0.746801,0,1.11079,0.993299,-0.0114705,0
0.404674,-0.653453,0,1.10933,0.995266,-0.0126121,0
0.404619,-0.56859,0,1.10743,0.997787,-0.0137891,0
0.404569,-0.491442,0,1.10503,1.0009,-0.0149927,0
0.404523,-0.421308,0,1.10214,1.00455,-0.0162127,0
0.404481,-0.35755,0,1.09881,1.00732,-0.0173849,0
0.428571,-6,0,1.27671,0.999,0,0
0.428211,-5.42912,0,0.894504,1.06171,-0.0138972,0
0.427884,-4.91015,0,1.26221,1.01176,-0.0345082,0
0.427586,-4.43835,0,0.977032,1.0199,0.00810432,0
0.427315,-4.00944,0,1.20026,0.991404,-0.0098156,0
0.427069,-3.61952,0,1.04192,0.988186,0.00817362,0
0.426846,-3.26505,0,1.1514,0.990508,-0.00385073,0
0.426642,-2.94281,0,1.07849,0.988109,0.00176918,0
0.426457,-2.64986,0,1.12652,0.990383,-0.00329571,0
0.426289,-2.38354,0,1.09657,0.988749,-0.00142248,0
0.426137,-2.14143,0,1.1158,0.989698,-0.00372913,0
0.425998,-1.92134,0,1.10471,0.98888,-0.00364147,0
0.425871,-1.72125,0,1.11166,0.989118,-0.00490874,0
0.425757,-1.53935,0,1.10794,0.988994,-0.00546729,0
0.425652,-1.37399,0,1.11012,0.989191,-0.00648378,0
0.425557,-1.22366,0,1.10886,0.989526,-0.00731365,0
0.425471,-1.08699,0,1.10917,0.990039,-0.00828449,0
0.425393,-0.962756,0,1.10837,0.990865,-0.00922526,0
0.425322,-0.849811,0,1.10772,0.991959,-0.0102134,0
0.425257,-0.747134,0,1.10655,0.993515,-0.0112072,0
0.425198,-0.653791,0,1.10505,0.995508,-0.0122199,0
0.425144,-0.568934,0,1.10312,0.998053,-0.0132292,0
0.425096,-0.491791,0,1.10069,1.00119,-0.0142269,0
0.425051,-0.421661,0,1.09778,1.00486,-0.0152079,0
0.425011,-0.357907,0,1.09444,1.00764,-0.0161174,0
0.44898,-6,0,1.27416,0.999,0,0
0.448632,-5.42916,0,0.890246,1.06303,-0.0141648,0
0.448315,-4.91021,0,1.2586,1.01076,-0.0353482,0
0.448028,-4.43845,0,0.973199,1.01937,0.00826916,0
0.447766,-4.00957,0,1.19558,0.991529,-0.00964444,0
0.447529,-3.61967,0,1.03833,0.987906,0.00810252,0
0.447313,-3.26523,0,1.14693,0.990835,-0.0038625,0
0.447116,-2.943,0,1.07473,0.988004,0.00173229,0
0.446938,-2.65007,0,1.12223,0.990552,-0.00332055,0
0.446776,-2.38377,0,1.09265,0.988732,-0.00147812,0
0.446628,-2.14168,0,1.11161,0.989817,-0.00375273,0
0.446494,-1.9216,0,1.10068,0.988927,-0.00366752,0
0.446372,-1.72152,0,1.10752,0.989219,-0.00492258,0
0.446261,-1.53963,0,1.10385,0.989086,-0.00547473,0
0.44616,-1.37428,0,1.10599,0.98931,-0.00647623,0
0.446069,-1.22396,0,1.10474,0.989652,-0.00728786,0
0.445985,-1.08731,0,1.10502,0.990185,-0.00822745,0
0.44591,-0.963075,0,1.10421,0.991025,-0.00912225,0
0.445841,-0.850137,0,1.10353,0.992136,-0.0100425,0
0.445778,-0.747466,0,1.10234,0.993707,-0.0109417,0
0.445721,-0.65413,0,1.10081,0.995716,-0.0118261,0
0.44567,-0.569278,0,1.09885,0.998271,-0.0126692,0
0.445623,-0.49214,0,1.0964,1.00142,-0.0134638,0
0.44558,-0.422015,0,1.09348,1.0051,-0.0142098,0
0.445541,-0.358264,0,1.09015,1.00787,-0.0148598,0
0.469388,-6,0,1.27158,0.999,0,0
0.469052,-5.4292,0,0.885973,1.06437,-0.0144262,0
0.468747,-4.91028,0,1.25498,1.00974,-0.0361721,0
0.46847,-4.43854,0,0.969388,1.01882,0.00843858,0
0.468218,-4.00969,0,1.19089,0.991673,-0.009467,0
0.467988,-3.61982,0,1.03475,0.98763,0.00803523,0
0.46778,-3.2654,0,1.14246,0.991161,-0.00387426,0
