Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
0,-6,0,1,0,0
-1.54574,-5.79747,0,1,0,0
-0.0011867,-5.45183,0,1,0,0
-1.40567,-5.2675,0,1,0,0
-0.00226552,-4.95349,0,1,0,0
-1.27832,-4.78571,0,1,0,0
-0.00324626,-4.50046,0,1,0,0
-1.16256,-4.34771,0,1,0,0
-0.00413784,-4.08861,0,1,0,0
-1.05732,-3.94954,0,1,0,0
-0.00494837,-3.7142,0,1,0,0
-0.961647,-3.58756,0,1,0,0
-0.00568522,-3.37383,0,1,0,0
-0.874672,-3.25849,0,1,0,0
-0.00635508,-3.0644,0,1,0,0
-0.795603,-2.95933,0,1,0,0
-0.00696405,-2.78311,0,1,0,0
-0.723722,-2.68737,0,1,0,0
-0.00751765,-2.52738,0,1,0,0
-0.658376,-2.44013,0,1,0,0
-0.00802093,-2.2949,0,1,0,0
-0.598971,-2.21537,0,1,0,0
-0.00847845,-2.08356,0,1,0,0
-0.544966,-2.01105,0,1,0,0
-0.00889438,-1.89143,0,1,0,0
-0.495871,-1.82529,0,1,0,0
-0.0092725,-1.71676,0,1,0,0
-0.451238,-1.65643,0,1,0,0
-0.00961624,-1.55798,0,1,0,0
-0.410664,-1.50291,0,1,0,0
-0.00992874,-1.41363,0,1,0,0
-0.373778,-1.36335,0,1,0,0
-0.0102128,-1.2824,0,1,0,0
-0.340245,-1.23648,0,1,0,0
-0.0104711,-1.1631,0,1,0,0
-0.30976,-1.12115,0,1,0,0
-0.0107059,-1.05465,0,1,0,0
-0.282047,-1.01629,0,1,0,0
-0.0109193,-0.956057,0,1,0,0
-0.256854,-0.920973,0,1,0,0
-0.0111133,-0.866427,0,1,0,0
-0.23395,-0.834318,0,1,0,0
-0.0112897,-0.784945,0,1,0,0
-0.213129,-0.755541,0,1,0,0
-0.0114501,-0.71087,0,1,0,0
-0.1942,-0.683925,0,1,0,0
-0.0115959,-0.64353,0,1,0,0
-0.176993,-0.61882,0,1,0,0
-0.0117284,-0.582311,0,1,0,0
-0.16135,-0.559634,0,1,0,0
-0.0118489,-0.526658,0,1,0,0
-0.147128,-0.505828,0,1,0,0
-0.0119584,-0.476064,0,1,0,0
-0.1342,-0.456914,0,1,0,0
-0.012058,-0.430069,0,1,0,0
-0.122447,-0.412446,0,1,0,0
-0.0121485,-0.388256,0,1,0,0
-0.111762,-0.372021,0,1,0,0
-0.0122308,-0.350244,0,1,0,0
-0.102049,-0.335271,0,1,0,0
-2.6752,-5.3706,0,1,0,0
-2.43185,-4.8794,0,1,0,0
-2.21062,-4.43286,0,1,0,0
-2.00951,-4.02691,0,1,0,0
-1.82668,-3.65787,0,1,0,0
-1.66047,-3.32237,0,1,0,0
-1.50937,-3.01738,0,1,0,0
-1.372,-2.74011,0,1,0,0
-1.24713,-2.48805,0,1,0,0
-1.1336,-2.25891,0,1,0,0
-1.0304,-2.05059,0,1,0,0
-0.936578,-1.86121,0,1,0,0
-0.851286,-1.68905,0,1,0,0
-0.773747,-1.53254,0,1,0,0
-0.703258,-1.39026,0,1,0,0
-0.639177,-1.26091,0,1,0,0
-0.580921,-1.14332,0,1,0,0
-0.527961,-1.03642,0,1,0,0
-0.479816,-0.939244,0,1,0,0
-0.436048,-0.850898,0,1,0,0
-0.396258,-0.770583,0,1,0,0
-0.360086,-0.69757,0,1,0,0
-0.327202,-0.631195,0,1,0,0
-0.297308,-0.570853,0,1,0,0
-0.270131,-0.515997,0,1,0,0
-0.245425,-0.466128,0,1,0,0
-0.222965,-0.420793,0,1,0,0
-0.202547,-0.379579,0,1,0,0
-0.183985,-0.342111,0,1,0,0
-0.16711,-0.30805,0,1,0,0
-3.5078,-4.86779,0,1,0,0
-3.18828,-4.42236,0,1,0,0
-2.89781,-4.01743,0,1,0,0
-2.63375,-3.64932,0,1,0,0
-2.39369,-3.31466,0,1,0,0
-2.17546,-3.01043,0,1,0,0
-1.97707,-2.73386,0,1,0,0
-1.79671,-2.48243,0,1,0,0
-1.63275,-2.25386,0,1,0,0
-1.48369,-2.04606,0,1,0,0
-1.34818,-1.85716,0,1,0,0
-1.225,-1.68543,0,1,0,0
-1.11301,-1.52931,0,1,0,0
-1.0112,-1.38739,0,1,0,0
-0.918648,-1.25836,0,1,0,0
-0.834509,-1.14107,0,1,0,0
-0.75802,-1.03444,0,1,0,0
-0.688484,-0.937501,0,1,0,0
-0.625269,-0.849377,0,1,0,0
-0.567801,-0.769264,0,1,0,0
-0.515558,-0.696433,0,1,0,0
-0.468064,-0.630224,0,1,0,0
-0.424888,-0.570034,0,1,0,0
-0.385637,-0.515315,0,1,0,0
-0.349954,-0.465571,0,1,0,0
-0.317515,-0.420349,0,1,0,0
-0.288025,-0.379238,0,1,0,0
-0.261215,-0.341865,0,1,0,0
-0.236843,-0.307889,0,1,0,0
-0.214687,-0.277002,0,1,0,0
-4.13056,-4.35183,0,1,0,0
-3.75405,-3.95342,0,1,0,0
-3.41176,-3.59124,0,1,0,0
-3.10059,-3.26197,0,1,0,0
-2.81771,-2.96264,0,1,0,0
-2.56055,-2.69052,0,1,0,0
-2.32676,-2.44314,0,1,0,0
-2.11423,-2.21825,0,1,0,0
-1.92102,-2.01381,0,1,0,0
-1.74537,-1.82795,0,1,0,0
-1.58569,-1.65898,0,1,0,0
-1.44053,-1.50538,0,1,0,0
-1.30856,-1.36574,0,1,0,0
-1.18859,-1.2388,0,1,0,0
-1.07953,-1.12339,0,1,0,0
-0.980382,-1.01848,0,1,0,0
-0.890247,-0.923102,0,1,0,0
-0.808307,-0.836396,0,1,0,0
-0.733815,-0.757574,0,1,0,0
-0.666096,-0.685916,0,1,0,0
-0.604533,-0.620773,0,1,0,0
-0.548566,-0.561553,0,1,0,0
-0.497687,-0.507716,0,1,0,0
-0.451434,-0.458773,0,1,0,0
-0.409386,-0.414279,0,1,0,0
-0.37116,-0.373831,0,1,0,0
-0.336409,-0.337059,0,1,0,0
-0.304817,-0.303631,0,1,0,0
-0.276098,-0.273241,0,1,0,0
-0.249989,-0.245614,0,1,0,0
-4.60313,-3.84853,0,1,0,0
-4.18334,-3.49601,0,1,0,0
-3.80172,-3.17554,0,1,0,0
-3.45478,-2.8842,0,1,0,0
-3.13939,-2.61935,0,1,0,0
-2.85267,-2.37857,0,1,0,0
-2.59201,-2.15969,0,1,0,0
-2.35505,-1.9607,0,1,0,0
-2.13963,-1.7798,0,1,0,0
-1.9438,-1.61535,0,1,0,0
-1.76577,-1.46585,0,1,0,0
-1.60392,-1.32993,0,1,0,0
-1.45679,-1.20638,0,1,0,0
-1.32303,-1.09406,0,1,0,0
-1.20143,-0.991944,0,1,0,0
-1.09089,-0.899114,0,1,0,0
-0.990394,-0.814724,0,1,0,0
-0.899036,-0.738006,0,1,0,0
