Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
0,6,0,1,0,0
0.000664716,5.38601,0,1,0,0
-1.54574,5.79747,0,1,0,0
-1.38692,5.20438,0,1,0,0
-2.6752,5.3706,0,1,0,0
-2.40084,4.82131,0,1,0,0
-3.5078,4.86779,0,1,0,0
-3.1483,4.37005,0,1,0,0
-4.13056,4.35183,0,1,0,0
-3.70739,3.90696,0,1,0,0
-4.60313,3.84853,0,1,0,0
-4.13166,3.45521,0,1,0,0
-4.96604,3.36726,0,1,0,0
-4.45748,3.02323,0,1,0,0
-5.24706,2.91004,0,1,0,0
-4.7098,2.61283,0,1,0,0
-5.46547,2.47561,0,1,0,0
-4.9059,2.22288,0,1,0,0
-5.63481,2.06129,0,1,0,0
-5.05796,1.85098,0,1,0,0
-5.76466,1.66394,0,1,0,0
-5.17457,1.49431,0,1,0,0
-5.86181,1.28029,0,1,0,0
-5.26182,1.14993,0,1,0,0
-5.93103,0.907133,0,1,0,0
-5.32399,0.814961,0,1,0,0
-5.97553,0.541358,0,1,0,0
-5.36398,0.486621,0,1,0,0
-5.9973,0.179968,0,1,0,0
-5.38356,0.162216,0,1,0,0
-5.9973,-0.179968,0,1,0,0
-5.3836,-0.160887,0,1,0,0
-5.97553,-0.541358,0,1,0,0
-5.3641,-0.485297,0,1,0,0
-5.93103,-0.907133,0,1,0,0
-5.3242,-0.813647,0,1,0,0
-5.86181,-1.28029,0,1,0,0
-5.2621,-1.14863,0,1,0,0
-5.76466,-1.66394,0,1,0,0
-5.17493,-1.49303,0,1,0,0
-5.63481,-2.06129,0,1,0,0
-5.05842,-1.84973,0,1,0,0
-5.46547,-2.47561,0,1,0,0
-4.90645,-2.22167,0,1,0,0
-5.24706,-2.91004,0,1,0,0
-4.71044,-2.61167,0,1,0,0
-4.96604,-3.36726,0,1,0,0
-4.45823,-3.02213,0,1,0,0
-4.60313,-3.84853,0,1,0,0
-4.13251,-3.45419,0,1,0,0
-4.13056,-4.35183,0,1,0,0
-3.70836,-3.90604,0,1,0,0
-3.5078,-4.86779,0,1,0,0
-3.14938,-4.36927,0,1,0,0
-2.6752,-5.3706,0,1,0,0
-2.40203,-4.82072,0,1,0,0
-1.54574,-5.79747,0,1,0,0
-1.3882,-5.20403,0,1,0,0
0,-6,0,1,0,0
-0.000664716,-5.38601,0,1,0,0
0.001269,4.82783,0,1,0,0
-1.24254,4.6652,0,1,0,0
-2.15143,4.32196,0,1,0,0
-2.82148,3.91755,0,1,0,0
-3.32269,3.50253,0,1,0,0
-3.70305,3.09765,0,1,0,0
-3.99516,2.71048,0,1,0,0
-4.22137,2.34264,0,1,0,0
-4.39721,1.99312,0,1,0,0
-4.53355,1.65979,0,1,0,0
-4.63812,1.34009,0,1,0,0
-4.71637,1.03141,0,1,0,0
-4.77214,0.731169,0,1,0,0
-4.80803,0.436861,0,1,0,0
-4.82562,0.146078,0,1,0,0
-4.8257,-0.143541,0,1,0,0
-4.80826,-0.434333,0,1,0,0
-4.77253,-0.72866,0,1,0,0
-4.71691,-1.02893,0,1,0,0
-4.63882,-1.33765,0,1,0,0
-4.53442,-1.6574,0,1,0,0
-4.39825,-1.99081,0,1,0,0
-4.2226,-2.34042,0,1,0,0
-3.99658,-2.70838,0,1,0,0
-3.70467,-3.0957,0,1,0,0
-3.32453,-3.50078,0,1,0,0
-2.82354,-3.91607,0,1,0,0
-2.1537,-4.32083,0,1,0,0
-1.24499,-4.66454,0,1,0,0
-0.001269,-4.82783,0,1,0,0
0.00181836,4.3204,0,1,0,0
-1.11128,4.17504,0,1,0,0
-1.92469,3.868,0,1,0,0
-2.52437,3.5062,0,1,0,0
-2.97296,3.13486,0,1,0,0
-3.3134,2.77259,0,1,0,0
-3.57486,2.42616,0,1,0,0
-3.77735,2.09702,0,1,0,0
-3.93475,1.78426,0,1,0,0
-4.05681,1.48598,0,1,0,0
-4.15044,1.1999,0,1,0,0
-4.22051,0.923674,0,1,0,0
-4.27046,0.654994,0,1,0,0
-4.30262,0.391625,0,1,0,0
-4.3184,0.131406,0,1,0,0
-4.31851,-0.127771,0,1,0,0
-4.30294,-0.388003,0,1,0,0
-4.27101,-0.651399,0,1,0,0
-4.22129,-0.920121,0,1,0,0
-4.15144,-1.1964,0,1,0,0
-4.05806,-1.48256,0,1,0,0
-3.93626,-1.78095,0,1,0,0
-3.77912,-2.09384,0,1,0,0
-3.5769,-2.42315,0,1,0,0
-3.31573,-2.7698,0,1,0,0
-2.9756,-3.13236,0,1,0,0
-2.52732,-3.50407,0,1,0,0
-1.92795,-3.86638,0,1,0,0
-1.11479,-4.1741,0,1,0,0
-0.00181836,-4.3204,0,1,0,0
0.00231777,3.8591,0,1,0,0
-0.991955,3.72943,0,1,0,0
-1.71857,3.45531,0,1,0,0
-2.25428,3.13223,0,1,0,0
-2.65503,2.80062,0,1,0,0
-2.95917,2.47709,0,1,0,0
-3.19277,2.16768,0,1,0,0
-3.3737,1.87372,0,1,0,0
-3.51434,1.59438,0,1,0,0
-3.62342,1.32797,0,1,0,0
-3.70709,1.07245,0,1,0,0
-3.76973,0.825728,0,1,0,0
-3.81439,0.585744,0,1,0,0
-3.84315,0.3505,0,1,0,0
-3.85729,0.118069,0,1,0,0
-3.85743,-0.113436,0,1,0,0
-3.84357,-0.345884,0,1,0,0
-3.81509,-0.581161,0,1,0,0
-3.77071,-0.821199,0,1,0,0
-3.70838,-1.06799,0,1,0,0
-3.62501,-1.32361,0,1,0,0
-3.51626,-1.59016,0,1,0,0
-3.37595,-1.86966,0,1,0,0
-3.19537,-2.16385,0,1,0,0
-2.96214,-2.47353,0,1,0,0
-2.65839,-2.79743,0,1,0,0
-2.25804,-3.12952,0,1,0,0
-1.72272,-3.45325,0,1,0,0
-0.996434,-3.72824,0,1,0,0
-0.00231777,-3.8591,0,1,0,0
0.00277178,3.43973,0,1,0,0
-0.883478,3.32434,0,1,0,0
-1.53118,3.08014,0,1,0,0
-2.00873,2.79227,0,1,0,0
-2.366,2.49677,0,1,0,0
-2.63715,2.20845,0,1,0,0
-2.84542,1.93271,0,1,0,0
-3.00674,1.67072,0,1,0,0
-3.13215,1.42176,0,1,0,0
-3.22942,1.18432,0,1,0,0
-3.30405,0.956584,0,1,0,0
-3.35992,0.736687,0,1,0,0
-3.39978,0.522789,0,1,0,0
-3.42546,0.313115,0,1,0,0
-3.4381,0.105944,0,1,0,0
-3.43827,-0.100403,0,1,0,0
-3.42596,-0.307594,0,1,0,0
-3.40061,-0.517309,0,1,0,0
-3.36111,-0.731271,0,1,0,0
-3.30559,-0.951258,0,1,0,0
-3.23133,-1.17911,0,1,0,0
-3.13444,-1.41671,0,1,0,0
-3.00943,-1.66587,0,1,0,0
-2.84853,-1.92812,0,1,0,0
-2.6407,-2.20419,0,1,0,0
-2.37002,-2.49295,0,1,0,0
-2.01323,-2.78903,0,1,0,0
-1.53614,-3.07767,0,1,0,0
-0.888835,-3.32291,0,1,0,0
-0.00277178,-3.43973,0,1,0,0
0.00318451,3.05849,0,1,0,0
-0.784863,2.95608,0,1,0,0
-1.36083,2.73908,0,1,0,0
-1.78551,2.48321,0,1,0,0
-2.10324,2.22053,0,1,0,0
