Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
0,6,0,1,0,0
0.00296358,5.45172,0,1,0,0
-1.54574,5.79747,0,1,0,0
-1.40163,5.26846,0,1,0,0
-2.6752,5.3706,0,1,0,0
-2.42809,4.88115,0,1,0,0
-3.5078,4.86779,0,1,0,0
-3.18485,4.4247,0,1,0,0
-4.13056,4.35183,0,1,0,0
-3.75096,3.9562,0,1,0,0
-4.60313,3.84853,0,1,0,0
-4.1806,3.49912,0,1,0,0
-4.96604,3.36726,0,1,0,0
-4.51058,3.06201,0,1,0,0
-5.24706,2.91004,0,1,0,0
-4.76615,2.64672,0,1,0,0
-5.46547,2.47561,0,1,0,0
-4.96481,2.25208,0,1,0,0
-5.63481,2.06129,0,1,0,0
-5.11888,1.87571,0,1,0,0
-5.76466,1.66394,0,1,0,0
-5.23706,1.51474,0,1,0,0
-5.86181,1.28029,0,1,0,0
-5.32553,1.1662,0,1,0,0
-5.93103,0.907133,0,1,0,0
-5.3886,0.827169,0,1,0,0
-5.97553,0.541358,0,1,0,0
-5.42922,0.49484,0,1,0,0
-5.9973,0.179968,0,1,0,0
-5.44918,0.166485,0,1,0,0
-5.9973,-0.179968,0,1,0,0
-5.44936,-0.16056,0,1,0,0
-5.97553,-0.541358,0,1,0,0
-5.42975,-0.488937,0,1,0,0
-5.93103,-0.907133,0,1,0,0
-5.3895,-0.82131,0,1,0,0
-5.86181,-1.28029,0,1,0,0
-5.32679,-1.16041,0,1,0,0
-5.76466,-1.66394,0,1,0,0
-5.23871,-1.50905,0,1,0,0
-5.63481,-2.06129,0,1,0,0
-5.12092,-1.87015,0,1,0,0
-5.46547,-2.47561,0,1,0,0
-4.96726,-2.24669,0,1,0,0
-5.24706,-2.91004,0,1,0,0
-4.76902,-2.64153,0,1,0,0
-4.96604,-3.36726,0,1,0,0
-4.51391,-3.05711,0,1,0,0
-4.60313,-3.84853,0,1,0,0
-4.1844,-3.49458,0,1,0,0
-4.13056,-4.35183,0,1,0,0
-3.75526,-3.95212,0,1,0,0
-3.5078,-4.86779,0,1,0,0
-3.18966,-4.42124,0,1,0,0
-2.6752,-5.3706,0,1,0,0
-2.43339,-4.87851,0,1,0,0
-1.54574,-5.79747,0,1,0,0
-1.40735,-5.26694,0,1,0,0
0,-6,0,1,0,0
-0.00296358,-5.45172,0,1,0,0
0.00565775,4.95329,0,1,0,0
-1.27062,4.78755,0,1,0,0
-2.20344,4.43621,0,1,0,0
-2.89126,4.0219,0,1,0,0
-3.40587,3.59654,0,1,0,0
-3.79648,3.18148,0,1,0,0
-4.09653,2.78452,0,1,0,0
-4.32895,2.40733,0,1,0,0
-4.50967,2.04888,0,1,0,0
-4.64986,1.70701,0,1,0,0
-4.75743,1.3791,0,1,0,0
-4.838,1.06247,0,1,0,0
-4.89549,0.754474,0,1,0,0
-4.93257,0.452551,0,1,0,0
-4.95089,0.154227,0,1,0,0
-4.95123,-0.142917,0,1,0,0
