Points_0,Points_1,Points_2,ph,uh_0,uh_1,uh_2
0.387755,-6,0,0.00838682,1,0,0
0.408163,-6,0,0.0084073,1,0,0
0.38737,-5.42905,0,0.00416082,1.00062,-0.000295204,0
0.407791,-5.42909,0,0.00412694,1.00065,-0.000305136,0
0.38702,-4.91001,0,0.00849362,0.999958,-0.00101106,0
0.407452,-4.91008,0,0.00849184,0.999959,-0.00105239,0
0.386702,-4.43815,0,0.0067267,0.999614,-0.000586731,0
0.407144,-4.43825,0,0.0067291,0.999612,-0.000611707,0
0.386413,-4.00919,0,0.00862918,0.998998,-0.00106785,0
0.406864,-4.00931,0,0.00860981,0.999017,-0.00109473,0
0.38615,-3.61922,0,0.00860762,0.997922,-0.00106484,0
0.40661,-3.61937,0,0.00860748,0.997921,-0.00109937,0
0.385911,-3.26471,0,0.00943376,0.997103,-0.00123744,0
0.406378,-3.26488,0,0.00941901,0.997117,-0.00127178,0
0.385694,-2.94242,0,0.00993052,0.99594,-0.00140856,0
0.406168,-2.94262,0,0.00991873,0.995951,-0.00145011,0
0.385497,-2.64944,0,0.0106872,0.994838,-0.00154655,0
0.405977,-2.64965,0,0.0106734,0.994849,-0.00159403,0
0.385317,-2.38308,0,0.011254,0.993725,-0.00170145,0
0.405803,-2.38331,0,0.0112365,0.99374,-0.00175504,0
0.385154,-2.14095,0,0.01206,0.992567,-0.00187008,0
0.405645,-2.14119,0,0.0120402,0.992583,-0.00193068,0
0.385005,-1.92082,0,0.0127156,0.991488,-0.00203551,0
0.405502,-1.92108,0,0.0126921,0.991508,-0.00210218,0
0.38487,-1.72071,0,0.0134839,0.990441,-0.00223459,0
0.405371,-1.72098,0,0.0134546,0.990465,-0.00230606,0
0.384748,-1.53879,0,0.0141849,0.989482,-0.00245933,0
0.405252,-1.53907,0,0.0141492,0.989512,-0.00253308,0
0.384636,-1.3734,0,0.0148709,0.988627,-0.00273517,0
0.405144,-1.37369,0,0.0148251,0.988668,-0.00280677,0
0.384535,-1.22305,0,0.0154856,0.987926,-0.00308053,0
0.405046,-1.22336,0,0.0154264,0.987982,-0.00314336,0
0.384443,-1.08637,0,0.0160001,0.987375,-0.00352119,0
0.404957,-1.08668,0,0.0159219,0.987452,-0.00356551,0
0.384359,-0.962118,0,0.0163609,0.98709,-0.00409168,0
0.404876,-0.962437,0,0.0162567,0.987199,-0.00410401,0
0.384283,-0.849159,0,0.0165305,0.987,-0.00482367,0
0.404802,-0.849485,0,0.0163915,0.987151,-0.00478622,0
0.384214,-0.746469,0,0.0164291,0.987312,-0.00575721,0
0.404735,-0.746801,0,0.0162438,0.98752,-0.00564776,0
0.384151,-0.653114,0,0.0160064,0.987893,-0.00692516,0
0.404674,-0.653453,0,0.0157624,0.988174,-0.00671634,0
0.384094,-0.568246,0,0.0151791,0.98896,-0.00834732,0
0.404619,-0.56859,0,0.0148685,0.989326,-0.00800629,0
0.384042,-0.491094,0,0.0139692,0.990295,-0.010009,0
0.404569,-0.491442,0,0.013579,0.990758,-0.0095024,0
0.383994,-0.420955,0,0.012095,0.992388,-0.0119287,0
0.404523,-0.421308,0,0.0116256,0.992965,-0.0112263,0
0.383951,-0.357192,0,0.00988752,0.993425,-0.0139796,0
0.404481,-0.35755,0,0.00935522,0.994073,-0.0130549,0
0.428571,-6,0,0.00842519,1,0,0
0.428211,-5.42912,0,0.00409275,1.00068,-0.000315077,0
0.427884,-4.91015,0,0.00848951,0.999961,-0.00109366,0
0.427586,-4.43835,0,0.0067322,0.999609,-0.000636764,0
0.427315,-4.00944,0,0.00858993,0.999036,-0.00112125,0
0.427069,-3.61952,0,0.00860717,0.997921,-0.00113377,0
0.426846,-3.26505,0,0.00940407,0.997131,-0.00130597,0
0.426642,-2.94281,0,0.0099064,0.995962,-0.00149141,0
0.426457,-2.64986,0,0.0106591,0.994861,-0.00164125,0
0.426289,-2.38354,0,0.0112184,0.993755,-0.00180829,0
0.426137,-2.14143,0,0.0120196,0.9926,-0.00199084,0
0.425998,-1.92134,0,0.0126679,0.991527,-0.00216827,0
0.425871,-1.72125,0,0.0134247,0.99049,-0.00237675,0
0.425757,-1.53935,0,0.0141131,0.989543,-0.00260571,0
0.425652,-1.37399,0,0.0147794,0.988708,-0.00287674,0
0.425557,-1.22366,0,0.0153684,0.988036,-0.00320375,0
0.425471,-1.08699,0,0.0158465,0.987525,-0.00360615,0
0.425393,-0.962756,0,0.0161582,0.9873,-0.00411079,0
0.425322,-0.849811,0,0.0162623,0.98729,-0.00474057,0
0.425257,-0.747134,0,0.0160744,0.987709,-0.00552653,0
0.425198,-0.653791,0,0.0155433,0.988427,-0.00649129,0
0.425144,-0.568934,0,0.0145941,0.989654,-0.00764433,0
0.425096,-0.491791,0,0.013238,0.99117,-0.00897097,0
0.425051,-0.421661,0,0.0112201,0.993477,-0.010496,0
0.425011,-0.357907,0,0.00889953,0.994643,-0.0120997,0
0.44898,-6,0,0.00844093,1,0,0
0.448632,-5.42916,0,0.00405811,1.00072,-0.000325052,0
0.448315,-4.91021,0,0.00848667,0.999963,-0.00113486,0
0.448028,-4.43845,0,0.006736,0.999605,-0.000661836,0
0.447766,-4.00957,0,0.00856955,0.999056,-0.00114737,0
0.447529,-3.61967,0,0.00860669,0.997921,-0.00116801,0
0.447313,-3.26523,0,0.00938897,0.997145,-0.00133996,0
0.447116,-2.943,0,0.00989353,0.995974,-0.00153241,0
0.446938,-2.65007,0,0.0106445,0.994873,-0.00168815,0
0.446776,-2.38377,0,0.0111997,0.993771,-0.00186112,0
0.446628,-2.14168,0,0.0119984,0.992617,-0.00205046,0
0.446494,-1.9216,0,0.0126431,0.991548,-0.00223365,0
0.446372,-1.72152,0,0.0133941,0.990515,-0.00244648,0
0.446261,-1.53963,0,0.0140767,0.989574,-0.00267707,0
0.44616,-1.37428,0,0.014734,0.988747,-0.00294494,0
0.446069,-1.22396,0,0.0153116,0.988087,-0.00326161,0
0.445985,-1.08731,0,0.0157742,0.987595,-0.00364313,0
0.44591,-0.963075,0,0.0160655,0.987393,-0.00411226,0
0.445841,-0.850137,0,0.0161433,0.987416,-0.00468728,0
0.445778,-0.747466,0,0.0159216,0.98788,-0.00539455,0
0.445721,-0.65413,0,0.0153496,0.988653,-0.00625159,0
0.44567,-0.569278,0,0.0143564,0.989942,-0.0072637,0
0.445623,-0.49214,0,0.0129466,0.99153,-0.00841758,0
0.44558,-0.422015,0,0.010879,0.993923,-0.00974125,0
0.445541,-0.358264,0,0.00852153,0.995134,-0.0111181,0
0.469388,-6,0,0.00845491,1,0,0
0.469052,-5.4292,0,0.00402291,1.00075,-0.000335077,0
0.468747,-4.91028,0,0.00848333,0.999965,-0.001176,0
0.46847,-4.43854,0,0.0067405,0.999601,-0.000686866,0
0.468218,-4.00969,0,0.00854868,0.999076,-0.0011731,0
0.467988,-3.61982,0,0.00860604,0.997921,-0.0012021,0
0.46778,-3.2654,0,0.00937371,0.99716,-0.00137373,0
0.46759,-2.9432,0,0.00988011,0.995986,-0.00157308,0
0.467418,-2.65028,0,0.0106293,0.994885,-0.00173468,0
0.467262,-2.384,0,0.0111804,0.993788,-0.00191345,0
0.467119,-2.14192,0,0.0119764,0.992634,-0.00210945,0
0.46699,-1.92185,0,0.0126175,0.991568,-0.00229824,0
0.466872,-1.72179,0,0.013363,0.99054,-0.00251517,0
0.466765,-1.53992,0,0.0140399,0.989604,-0.00274705,0
0.466668,-1.37457,0,0.0146888,0.988786,-0.00301129,0
0.46658,-1.22426,0,0.0152561,0.988137,-0.00331696,0
0.466499,-1.08762,0,0.015705,0.987659,-0.00367662,0
0.466426,-0.963394,0,0.015979,0.987479,-0.0041089,0
0.46636,-0.850463,0,0.016035,0.98753,-0.00462732,0
0.4663,-0.747799,0,0.0157859,0.98803,-0.00525347,0
0.466245,-0.654468,0,0.0151819,0.988849,-0.00599996,0
0.466195,-0.569622,0,0.014156,0.990189,-0.00686835,0
0.46615,-0.492489,0,0.0127052,0.991838,-0.00784739,0
0.466108,-0.422368,0,0.0106026,0.994303,-0.00896785,0
0.466071,-0.358621,0,0.0082215,0.995545,-0.0101156,0
0.489796,-6,0,0.00846744,1,0,0
0.489473,-5.42923,0,0.00398708,1.00078,-0.000345166,0
0.489179,-4.91035,0,0.00847953,0.999967,-0.00121709,0
0.488912,-4.43864,0,0.00674572,0.999596,-0.000711812,0
0.488669,-4.00982,0,0.00852732,0.999097,-0.00119842,0
0.488448,-3.61998,0,0.00860518,0.997922,-0.001236,0
0.488247,-3.26557,0,0.00935828,0.997174,-0.00140725,0
0.488065,-2.94339,0,0.00986615,0.995998,-0.00161339,0
0.487899,-2.6505,0,0.0106138,0.994898,-0.0017808,0
0.487748,-2.38423,0,0.0111605,0.993805,-0.00196524,0
0.487611,-2.14217,0,0.0119538,0.992652,-0.00216776,0
0.487486,-1.92211,0,0.0125914,0.99159,-0.00236194,0
0.487373,-1.72206,0,0.0133313,0.990565,-0.00258273,0
0.48727,-1.5402,0,0.0140028,0.989634,-0.00281556,0
0.487176,-1.37487,0,0.0146439,0.988824,-0.00307573,0
0.487091,-1.22457,0,0.015202,0.988184,-0.00336978,0
0.487014,-1.08793,0,0.0156392,0.987719,-0.00370676,0
0.486943,-0.963713,0,0.0158988,0.987557,-0.00410101,0
0.486879,-0.850789,0,0.0159375,0.98763,-0.00456121,0
0.486821,-0.748132,0,0.0156674,0.988161,-0.00510413,0
0.486768,-0.654807,0,0.0150405,0.989016,-0.00573751,0
0.48672,-0.569966,0,0.013993,0.990396,-0.00645957,0
0.486677,-0.492837,0,0.0125138,0.992092,-0.0072614,0
0.486637,-0.422721,0,0.0103908,0.994615,-0.00817627,0
0.486601,-0.358979,0,0.00799992,0.995876,-0.00909254,0
0.510204,-6,0,0.00847875,1,0,0
0.509893,-5.42927,0,0.00395054,1.00082,-0.000355317,0
0.50961,-4.91042,0,0.00847526,0.99997,-0.00125817,0
0.509353,-4.43874,0,0.00675166,0.99959,-0.000736627,0
0.50912,-4.00994,0,0.00850548,0.999118,-0.00122333,0
0.508907,-3.62013,0,0.00860413,0.997922,-0.00126972,0
0.508714,-3.26575,0,0.00934271,0.997189,-0.00144049,0
0.508539,-2.94358,0,0.00985165,0.996011,-0.00165329,0
0.508379,-2.65071,0,0.0105977,0.994911,-0.00182647,0
0.508234,-2.38446,0,0.01114,0.993823,-0.00201643,0
0.508102,-2.14241,0,0.0119306,0.992671,-0.0022253,0
0.507982,-1.92237,0,0.0125646,0.991611,-0.00242467,0
0.507873,-1.72233,0,0.0132991,0.990591,-0.00264902,0
0.507774,-1.54048,0,0.0139655,0.989664,-0.00288248,0
0.507684,-1.37516,0,0.0145994,0.98886,-0.00313815,0
0.507602,-1.22487,0,0.0151494,0.988229,-0.00342005,0
0.507528,-1.08824,0,0.0155767,0.987775,-0.00373368,0
0.50746,-0.964032,0,0.0158251,0.987626,-0.00408906,0
0.507399,-0.851115,0,0.015851,0.987717,-0.00449002,0
0.507343,-0.748464,0,0.0155665,0.988271,-0.00494851,0
0.507292,-0.655145,0,0.0149258,0.989153,-0.00546746,0
0.507246,-0.57031,0,0.0138677,0.990561,-0.0060421,0
0.507204,-0.493186,0,0.0123727,0.992292,-0.00666617,0
0.507165,-0.423074,0,0.0102443,0.99486,-0.00737507,0
0.507131,-0.359336,0,0.00785783,0.996127,-0.0080598,0
0.530612,-6,0,0.00848902,1,0,0
0.530314,-5.4293,0,0.00391324,1.00085,-0.000365537,0
0.530042,-4.91049,0,0.00847055,0.999974,-0.00129925,0
0.529795,-4.43884,0,0.00675834,0.999583,-0.000761291,0
0.529571,-4.01007,0,0.00848318,0.99914,-0.00124781,0
0.529367,-3.62028,0,0.00860286,0.997923,-0.00130326,0
0.529181,-3.26592,0,0.009327,0.997204,-0.00147345,0
0.529013,-2.94378,0,0.00983661,0.996025,-0.00169279,0
0.52886,-2.65092,0,0.0105813,0.994925,-0.00187167,0
